time,pos_out[1],pos_out[2],pos_out[3],RPY_out[1],RPY_out[2],RPY_out[3],f_in[1],f_in[2],f_in[3],t_in[1],t_in[2],t_in[3],
0.0,0.0,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.005,0.0,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,6.666622222518518e-05,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.015,0.00019999866667555553,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.02,0.0003999973333511111,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.025,0.0006666622222518518,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.03,0.0009999933333777777,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.035,0.0013999906667288892,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,0.0018666542223051853,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.045,0.0023999840001066664,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,0.0029999800001333336,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.055,0.0036666422223851853,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.06,0.004399970666862222,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.065,0.005199965333564445,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.07,0.006066626222491853,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.075,0.006999953333644444,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,0.007999946667022223,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.085,0.009066606222625187,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.09,0.010199932000453334,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.095,0.011399924000506668,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.012666582222785187,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.105,0.013999906667288889,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.11,0.015399897334017778,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.115,0.01686655422297185,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12,0.018399877334151108,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.125,0.019999866667555554,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.13,0.021666522223185186,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.135,0.023399844001040004,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.14,0.025199832001120005,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.145,0.027066486223425182,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.15,0.028999806667955555,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.155,0.03099979333471111,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,0.033066446223691856,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.165,0.035199765334897784,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.17,0.037399750668328895,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.17500000000000002,0.039666402223985195,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.18,0.041999720001866664,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.185,0.04439970400197333,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
